,text
733,jenkins setup tool and accelerators idtw perfaware flash demo arf
734,devops in analytics westpac bank tool and accelerators idtw perfaware flash demo wmv
735,data cleaner dq profile 2 tool and accelerators opensource base tool ppt
736,ds account heat map plan bi nov 2016 update templates heat map bicoe heat map xls
737,etlcoe present idtw knowledge series edition 1 idtw idtw idtw tool and accelerators idtw perfaware flash demo idtw_knowledgesharingseries msg
738,machine learn video set up ivs-ss machine learn java tool and accelerators machine learn ppt
739,jenkins tool and accelerators idtw perfaware flash demo war
740,jenkins tool and accelerators idtw perfaware flash demo reusable artifacts war
741,bi train material v02 train material train materials bi report train ms bi pdf
742,etlcoe present idtw troubleshoot knowledge series edition 1 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
743,idtw request metrics weekly update (16 jan 22 jan 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
744,test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat sample templates and reference document xls
745,issue log step dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat sample templates and reference document doc
746,re dsp 3 0 uat head up tool and accelerators idtw perfaware flash demo idtw 6.0 uat sample templates and reference document msg
747,datafileuploadsingle test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
748,datafileuploadmultiple test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
749,idtw5.3 or perfaware knownissues tool and accelerators idtw perfaware flash demo xls
750,tool connections check test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
751,admin module test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
752,data quality analysis test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
753,test strategies test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
754,integration with unix test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
755,integration with alm test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
756,test case and status dsp 3 0 uat querybuilder tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
757,rule builder test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
758,test management test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
759,settings test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
760,result verification test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
761,hetrogeneous datacomparison test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
762,homogeneous data comparison test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
763,parameterization test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
764,poc demo v1 tool and accelerators talend studio zip
765,test case and status dsp 3 0 uat querybuilder feb10 tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
766,test case and status dsp 3 0 uat querybuilder feb16 tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
767,idtw defectsfromdefecttracker tool and accelerators idtw perfaware flash demo idtw 6.0 uat defect xls
768,white paper delphix for application development tool and accelerators pdf
769,bireporttesterv3.0 user gide tool and accelerators bi report tester pdf
770,idtw5.3 or perfaware knownissues tool and accelerators idtw perfaware flash demo idtw 6.0 uat defect xls
771,etlcoe present idtw troubleshoot knowledge series edition 2 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
772,etlcoe present idtw troubleshoot knowledge series edition 3 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
773,etlcoe present idtw troubleshoot knowledge series edition 4 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
774,idtw request metrics weekly update (13feb 19feb 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
775,idtw request metrics weekly update (23 jan 03 feb 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
776,batchexecution test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
777,re idtw support model tool and accelerators idtw perfaware flash demo msg
778,idtw request metrics weekly update (20feb 26feb 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
779,idtw request metrics weekly update (27feb 5march 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
780,restfulapi test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
781,ssbi v09 course reference document dwt test ppt
782,development skills plan v1.2 tool and accelerators idtw perfaware flash demo xls
783,dashboard data comparison test case and status dsp 3.0 uat tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
784,homogeneous data comparison test case and status dsp 3.0 uat copy tool and accelerators idtw perfaware flash demo idtw 6.0 uat test case sheet xls
785,fs client kyc and aml case study v1.0 02mar17 bofa and citi case study by vertical financial service ppt
786,bo to bo upgrade case study case study bi case study bi case study_ single slide ppt
787,boxi report test case study case study bi case study bi case study_ single slide ppt
788,cenovus bo to bo upgrade case study case study bi case study bi case study_ single slide ppt
789,management report and analytics case study case study bi case study bi case study_ single slide ppt
790,mcdermott cube case study case study bi case study bi case study_ single slide ppt
791,micro startegyreports test case study case study bi case study bi case study_ single slide ppt
792,obiee report test case study case study bi case study bi case study_ single slide ppt
793,ssrs report test case study case study bi case study bi case study_ single slide ppt
794,tableau report test case study case study bi case study bi case study_ single slide ppt
795,weatherford obieereporttesting case study bi case study bi case study_ single slide ppt
796,bo to bo upgrade case study case study bi case study bi case study detail ppt
797,cenovus bo to bo upgrade case study v1.0case study case study bi case study bi case study detail ppt
798,qlikview report test case study case study bi case study bi case study detail ppt
799,ssrs report test case study case study bi case study bi case study detail ppt
800,weatherford obieereportstesting case study case study bi case study bi case study detail ppt
801,cgc fibi case study case study by technology informatica financial service ppt
802,demo dqa use idtw tool and accelerators idtw perfaware flash demo reusable artifacts zip
803,qlikview report test case study case study bi case study bi case study_ single slide ppt
804,idtw 5.3 installation guide etl coe etl coe etl coe tool and accelerators idtw perfaware flash demo doc
805,case study case study by vertical manufacture ppt
806,re idtw 6.0 evaluation agreement for review tool and accelerators idtw perfaware flash demo msg
807,perfaware troubleshoot (2) tool and accelerators idtw perfaware flash demo pdf
808,jenkinsintegrationwithidtw etl coe etl coe etl coe tool and accelerators idtw perfaware flash demo doc
809,bofa best practice apr'17 session ver 1.0 tool and accelerators idtw perfaware flash demo data service best practice knowledge share sessions pdf
810,bireporting 6 etlcoe idyw6.0 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
811,jenkinsintegrationwithidtw6 9 tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
812,hilife innovation differentiatorsinci cd model case study case in a point technical ppt
813,enhance dq analysis through reusable abinitio graph case study case in a point technical ppt
814,etl devops poc case study case in a point technical ppt
815,adminmodule 1 adminmodule adminmodule adminmodule tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
816,rulebuildermodule 3 etlcoe idtw6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
817,datacompariosnmodule 4 etlcoe idtw6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
818,dqa dsp 5 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
819,toolsmodule exceptrulebuilder 2 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
820,restapi getmethods 8 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
821,unixintegration postandconditionsteptype 7 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
822,unixintegration preaction 7 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
823,almintegrationwithidtw6 10 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
824,restapi postmethod 8 etlcoe dsp6 etlcoe tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
825,querytracker codefix 5may2017 sharepoint querytracker_codefix_5may2017 idyw6.0 etlcoe tool and accelerators idtw perfaware flash demo idtw 6.0 uat defect xls
826,cgc etl informatica case study by vertical financial service ppt
827,allstate automation utilities v3 tool and accelerators ppt
828,sqlite file to table converion utility tool and accelerators ppt
829,installation tracker 2017 2018 etl coe etl coe etl coe tool and accelerators idtw perfaware flash demo xls
830,"idtw6.0 fileuploadfeature unixintegration etl-coe unix , etl , idtw etl tool and accelerators idtw perfaware flash demo doc"
831,idtw 6.0 scenarios and resources 3.0 tool and accelerators idtw perfaware flash demo idtw 6.0 uat sample templates and reference document xls
832,ivs ss ds6 citizens knowledge share session may 31 2017 tool and accelerators idtw perfaware flash demo data service best practice knowledge share sessions ppt
833,dashboardmodule 11 etlcoe idtw6.0 idtw6.0 tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
834,lab setup 6.16 tool and accelerators idtw perfaware flash demo xls
835,etlcoe present idtw troubleshoot knowledge series edition 10 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
836,etlcoe present idtw troubleshoot knowledge series edition 11 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
837,etlcoe present idtw troubleshoot knowledge series edition 12 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
838,etlcoe present idtw troubleshoot knowledge series edition 7 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
839,etlcoe present idtw troubleshoot knowledge series edition 8 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
840,etlcoe present idtw troubleshoot knowledge series edition 9 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
841,etlcoe present idtw troubleshoot knowledge series edition 5 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
842,etlcoe present idtw troubleshoot knowledge series edition 6 tool and accelerators idtw perfaware flash demo idtw_trobleshooting_knowledgesharingseries msg
843,nationwide idtw poc roi anlysis v2.0 (002) (002) tool and accelerators infosys accelarators infosys perfaware case study ppt
844,infosysdatatestingwb usermanual v5.3 etlcoe tool and accelerators idtw perfaware flash demo pdf
845,idtw request metrics update (03 april 20 april 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
846,idtw request metrics update (03 june'17 25 june'17) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
847,idtw request metrics update (13 may 02 june 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
848,idtw request metrics update (21april 12 may 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
849,idtw request metrics weekly update ( 06 march 12 march 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
850,idtw request metrics weekly update ( 13 march 26 march 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
851,idtw request metrics weekly update (27march 02april 2017) tool and accelerators idtw perfaware flash demo dtw_weeklyrequestsstatusmetrics msg
852,compareone open source automation bigdata etl tool and accelerators idtw perfaware flash demo data service best practice knowledge share sessions ds7 exelon best practise_june_06_2017 doc
853,utilities client bigdatatesting presentation tool and accelerators idtw perfaware flash demo data service best practice knowledge share sessions ds7 exelon best practise_june_06_2017 ppt
854,nationwide idtw poc roi anlysis v2.0 (002) tool and accelerators idtw perfaware flash demo poc ppt
855,idtw demo sap hana tool and accelerators idtw perfaware flash demo wrf
856,whitepaper automate regression test in agile etl dwh test project white paper data warehouse test automation pdf
857,infosys bpm test service flyer version2 ivs_ss_artifacts ds erp pdf
858,infosys orc package test service flyer version 3 ivs_ss_artifacts ds erp pdf
859,infosys sfdc test service flyer2 ivs_ss_artifacts ds erp pdf
860,infosys sap s4 hana migration test solution flyer publish ivs_ss_artifacts ds erp pdf
861,sap test service catalogue flyer [print] ivs_ss_artifacts ds erp pdf
862,sap test flyer v1.0 ivs_ss_artifacts ds erp pdf
863,ecs sap test gtm v0.2 ivs_ss_artifacts ds erp ppt
864,infosys performance test and engineer service 0418 ivs_ss_artifacts ds performance ppt
865,tdm modules testcases tool and accelerators idtw perfaware flash demo idtw regression suite tdm xls
866,metadata sqlserver capital email tool and accelerators idtw perfaware flash demo idtw regression suite etl connections_metadatafiles xls
867,bigdatavalidation regression suite tool and accelerators idtw perfaware flash demo idtw regression suite big data xls
868,sv– service offer l1 ivs_ss_artifacts ds soa ppt
869,infosys reliability assurance ivs_ss_artifacts ds performance pdf
870,pte contact and alliance ivs_ss_artifacts ds performance ppt
871,ds account heat map plan bi jul 2017 templates heat map bicoe heat map xls
872,metadata capital email oracle tool and accelerators idtw perfaware flash demo idtw regression suite etl connections_metadatafiles xls
873,capital market pipedel single tool and accelerators idtw perfaware flash demo idtw regression suite etl datafiles txt
874,capital market pipedelimited metadata tool and accelerators idtw perfaware flash demo idtw regression suite etl datafiles xls
875,capital market pipedel 1 tool and accelerators idtw perfaware flash demo idtw regression suite etl datafiles txt
876,capital market pipedel 2 tool and accelerators idtw perfaware flash demo idtw regression suite etl datafiles txt
877,data service contact and alliance ivs_ss_artifacts ds data service ppt
878,capital market pipedel single modify tool and accelerators idtw perfaware flash demo idtw regression suite etl datafiles txt
879,data service service offer ivs_ss_artifacts ds data service ppt
880,infosys big data analytics validation service ivs_ss_artifacts ds data service ppt
881,key engagements by service v0.1 ivs_ss_artifacts ds data service ppt
882,demo cei csa ivs_ss_artifacts ds mobility zip
883,flyer ivs_ss_artifacts ds mobility zip
884,inits v3.0 demo ivs_ss_artifacts ds mobility zip
885,iwafrecordeddemo v0.1withvoice ivs_ss_artifacts ds mobility zip
886,mobile qa flyer ss roadshow jul 17 ivs_ss_artifacts ds mobility doc
887,mobile qa flyer ss roadshow jul 17 ivs_ss_artifacts ds mobility pdf
888,mobility test service contact and alliance ivs_ss_artifacts ds mobility ppt
889,ivs infratesting service offer ivs_ss_artifacts ds infra pdf
890,ivs tems service offer ivs_ss_artifacts ds infra pdf
891,ivs security test service offer ivs_ss_artifacts ds security pdf
892,ifast v2 ivs_ss_artifacts ds soa mp4
893,digital quality assurance accessibility test ivs_ss_artifacts ds mobility ppt
894,mobile test automationoffering june 2017 ivs_ss_artifacts ds mobility ppt
895,mobile cloud offer v5 ivs_ss_artifacts ds mobility ppt
896,ibm cognos tm1 train material train material train materials bi report train ms bi pdf
897,ivs mobility go to market solution 2017 v4 ivs_ss_artifacts ds mobility ppt
898,"mobile security test 14 insurance, bank &amp; financial service ivs_ss_artifacts ds security ppt"
899,citibank knowledge share session update tool and accelerators idtw perfaware flash demo data service best practice knowledge share sessions ppt
900,key engagements by mobile test service mobile qa ivs_ss_artifacts ds mobility ppt
901,europe infosys api test v4 ivs_ss_artifacts ds soa ppt
902,introduction idtw tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 arf
903,infosys api test automation ivs_ss_artifacts ds soa pdf
904,key engagements by service v1.2 ivs_ss_artifacts ds soa ppt
905,automate etl test case creation tool and accelerators tool and macros zip
906,cgc fix income business intelligence fibi etl test case study case study by vertical financial service ppt
907,icedq architecture tool and accelerators doc
908,idtw demo video tool and accelerators idtw perfaware flash demo videos idtw others wmv
909,cosmetic hide text or button tool and accelerators idtw perfaware flash demo roadshow doc
910,faqs idtw etl coe idtw etl coe tool and accelerators idtw perfaware flash demo faq_idtw doc
911,iedps product demo tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 tdm mp4
912,tdm dr dg dp tool and accelerators idtw perfaware flash demo videos_modulewise_idtw6.0 tdm wrf
913,etl market tool comparison 2.0 tool and accelerators idtw perfaware flash demo ppt
914,etl coe action item list heatmap and accountreviews xls
915,etl account review report lausd heatmap and accountreviews ppt
916,etl account review report scedison heatmap and accountreviews ppt
917,etl account review report charter heatmap and accountreviews ppt
918,etl account review report schw heatmap and accountreviews ppt
919,idtw big data requirements q3fy17 tool and accelerators idtw perfaware flash demo idtw release xls
920,etl account review report bofa heatmap and accountreviews ppt
921,idtw installation video sql server authentication tool and accelerators idtw perfaware flash demo videos idtw others arf
922,etl coe heat map q2 fy18 heatmap and accountreviews xls
923,account review calendar heatmap and accountreviews xls
924,etl revenue goal heatmap and accountreviews xls
925,tosca bi train session 20171227 0440 1 train material train materials basic train material(l1 to l2) tosca bi arf
926,etl account review report suntrust heatmap and accountreviews ppt
927,idtw installation video windows authentication idtw etlcoe etlcoe tool and accelerators idtw perfaware flash demo videos idtw others arf
928,etl account review report dtcc heatmap and accountreviews ppt
929,regression scenarios tool and accelerators idtw perfaware flash demo idtw regression suite etl xls
930,etl account review report cgc heatmap and accountreviews ppt
931,etl account review report amex heatmap and accountreviews ppt
932,2. idtw and cicd tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
933,etl market tool comparison 2.0 tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
934,four step to start with idtw tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
935,idtw licence cost detail tool and accelerators idtw perfaware flash demo idtw poc startup docs for internal purpose only ppt
936,idtw single slider tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
937,4. new feature in idtw6.1 tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
938,3. infrastructure requirement for idtw tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
939,idtw 6.0 feature nov17 tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
940,idtw6 installationsession tool and accelerators idtw perfaware flash demo videos idtw others arf
941,etl account review report westpac heatmap and accountreviews ppt
942,etl account review report nab heatmap and accountreviews ppt
943,etl account review report aetna heatmap and accountreviews ppt
944,etl account review report bsca heatmap and accountreviews ppt
945,idtw 6.3 requirements ver 1.1 tool and accelerators idtw perfaware flash demo idtw release release 6.3 1. requirements xls
946,idtw 6.3 test case bigdata tool and accelerators idtw perfaware flash demo idtw release release 6.3 2. test case xls
947,etl account review report carefirst heatmap and accountreviews ppt
948,re issue sample data file comparison defect 683 676 idtw6.3 idtw6.3 idtw6.3 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs msg
949,raja re issue sample data file comparison idtw6.3 idtw6.3 idtw6.3 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs msg
950,raja re issue sample data file comparison defect 683 676 idtw6.3 idtw6.3 idtw6.3 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs msg
951,chiranjibee uatdemo re issue sample data file comparison defect 683 676 idtw6.3 idtw6.3 idtw6.3 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs msg
952,etl account review report fidelity heatmap and accountreviews ppt
953,etl account review report nstrom cvs heatmap and accountreviews ppt
954,etl account review report jcpenny heatmap and accountreviews ppt
955,etl account review report wellsfargo heatmap and accountreviews ppt
956,tool comparison idq vs idtw pov tool and accelerators idtw perfaware flash demo ppt
957,idtw 6.3 test case tdm infosys tdm tdm tool and accelerators idtw perfaware flash demo idtw release release 6.3 2. test case xls
958,infosys data test workbench 6.2 tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
959,aswa tool and accelerators tool video mp4
960,bi tester tool and accelerators tool video mp4
961,exdat demo tool and accelerators tool video mp4
962,idtw demo video tool and accelerators tool video wmv
963,iedps product demo tool and accelerators tool video mp4
964,new infosys big data analytics validation platform v1d8 tool and accelerators tool video wmv
965,url tool tool and accelerators tool video txt
966,test report tool and accelerators idtw perfaware flash demo idtw release release 6.3 xls
967,req35retest uat 11april req35retest_uat_11april req35retest_uat_11april req35retest_uat_11april tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
968,req36 retest uat defect678 req36_retest_uat_defect678 req36_retest_uat_defect678 req36_retest_uat_defect678 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
969,req23 retestdefect588 uat req23_retestdefect588_uat req23_retestdefect588_uat req23_retestdefect588_uat tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
970,req32 idtw 6.3 uat test result sinish req32_idtw 6.3 uat test result sinish req32_idtw 6.3 uat test result sinish req32_idtw 6.3 uat test result sinish tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
971,defect retest req 37 defect_retest_req_37 defect_retest_req_37 defect_retest_req_37 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
972,req30 test result idtw6.3 req30_test result_idtw6.3 req30_test result_idtw6.3 req30_test result_idtw6.3 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots xls
973,req31retest uat 11aprildefect680 681 req31retest_uat_11aprildefect680_681 req31retest_uat_11aprildefect680_681 req31retest_uat_11aprildefect680_681 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
974,copy of icets ivs dtw release plan and dashboard tool and accelerators idtw perfaware flash demo idtw release xls
975,idtw release project plan tool and accelerators idtw perfaware flash demo idtw release xls
976,idtw perf benchmark v1.0 tool and accelerators idtw perfaware flash demo idtw poc startup docs for internal purpose only doc
977,idtw market tool comparison v1.0 tool and accelerators idtw perfaware flash demo idtw poc startup docs xls
978,idtwmigrationdoc tool and accelerators idtw perfaware flash demo idtw poc startup docs doc
979,idtw 6.3 test case etl update idtw 6.3 test case - etl idtw 6.3 test case - etl idtw 6.3 test case - etl tool and accelerators idtw perfaware flash demo idtw release release 6.3 2. test case xls
980,idtw 6.3 req32 test bijay (002) idtw_6.3_req32_testing_bijay (002) idtw_6.3_req32_testing_bijay (002) idtw_6.3_req32_testing_bijay (002) tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
981,idtw 6.3 req24 tetsing bijay idtw_6.3_req24_tetsing_bijay idtw_6.3_req24_tetsing_bijay idtw_6.3_req24_tetsing_bijay tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
982,req 29 retest701 4may final req 29 retest701_4may_final req 29 retest701_4may_final req 29 retest701_4may_final tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
983,req39 bannertesting update req39_bannertesting_updated req39_bannertesting_updated req39_bannertesting_updated tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
984,req19 email defect708retest 7may208 eq19_email_defect708retest_7may208 eq19_email_defect708retest_7may208 eq19_email_defect708retest_7may208 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots doc
985,re rel6.3 req19 email configuration defect718 re rel6.3_req19_email configuration_defect718 re rel6.3_req19_email configuration_defect718 re rel6.3_req19_email configuration_defect718 tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots msg
986,metadatafile toyota vehicle tool and accelerators idtw perfaware flash demo idtw release release 6.3 3. support docs uat_screenshots thareesh_1m_files_ xls
987,etlcoe monthly update may tool and accelerators idtw perfaware flash demo etlcoe monthly update doc
988,etlcoe monthly update may copy tool and accelerators idtw perfaware flash demo etlcoe monthly update doc
989,etlcoe monthly update may copy (2) tool and accelerators idtw perfaware flash demo etlcoe monthly update doc
990,etlcoe monthly update may copy (3) tool and accelerators idtw perfaware flash demo etlcoe monthly update doc
991,etl account review report anthem heatmap and accountreviews ppt
992,etl account review report mckesson heatmap and accountreviews ppt
993,idtwmigrationdoc tool and accelerators idtw perfaware flash demo new folder doc
994,readme tool and accelerators idtw perfaware flash demo new folder txt
995,setup tool and accelerators idtw perfaware flash demo new folder pdf
996,3. may june july tool and accelerators idtw perfaware flash demo vasu's monthly connect etlcoe update fy19 doc
997,2. apr may tool and accelerators idtw perfaware flash demo vasu's monthly connect etlcoe update fy19 doc
998,1. mar apr tool and accelerators idtw perfaware flash demo vasu's monthly connect etlcoe update fy19 doc
999,post production defect tool and accelerators idtw perfaware flash demo idtw release xls
1000,etl coe heat map q4 fy18 ds etl heatmap heatmap and accountreviews xls
1001,account review calendar q1 fy19 heatmap and accountreviews xls
1002,4. june july aug tool and accelerators idtw perfaware flash demo vasu's monthly connect etlcoe update fy19 doc
1003,idtw 6.3 flyer tool and accelerators idtw perfaware flash demo idtw poc startup docs pdf
1004,infosys dwt capabilities amex 10 feb v10 collateral dw bi test ppt
1005,idtw 6.4 requirements ver 0.1 tool and accelerators idtw perfaware flash demo idtw release release 6.4 1. requirements xls
1006,idtw 6.3 test case bigdata tool and accelerators idtw perfaware flash demo idtw release release 6.4 2. test case xls
1007,idtw 6.4 test case etl idtw 6.4 test case - etl idtw 6.4 test case - etl idtw 6.4 test case - etl tool and accelerators idtw perfaware flash demo idtw release release 6.4 2. test case xls
1008,test report tool and accelerators idtw perfaware flash demo idtw release release 6.4 xls
1009,infosys dwt capabilities amex 10 feb v10 collateral ppt
1010,idtw big data demo tool and accelerators idtw perfaware flash demo videos idtw others wmv
1011,edition6 cicd gitlab devops in etl know cicd tool emailer jpg
1012,edition1 cicd teamcity devops in etl know cicd tool emailer jpg
1013,edition2 cicd bamboo devops in etl know cicd tool emailer jpg
1014,edition3 cicd udeploy devops in etl know cicd tool emailer jpg
1015,edition4 cicd octopusdeploy devops in etl know cicd tool emailer jpg
1016,edition5 cicd travisci devops in etl know cicd tool emailer jpg
1017,ci use jenkins for etl automation allstate devops in etl case study ppt
1018,cicd automation use bamboo anthem devops in etl case study ppt
1019,ci use jenkins for bigdata barclays devops in etl case study ppt
1020,poc2 cicd jenkins idtw demo devops in etl proof of concept wmv
1021,poc1 cicd demobox devops in etl proof of concept ppt
1022,poc1 cicd demobox devops in etl proof of concept wmv
1023,poc2 cicd jenkins idtw devops in etl proof of concept ppt
1024,devops in ds test sales kit v0.6 devops in etl collaterals ppt
1025,devops test service brochure v0.2 devops in etl collaterals pdf
1026,devops and cicd tutorial devops in etl collaterals ppt
1027,cicd test plan sample v1.0 devops in etl vital document test plan doc
1028,devops in etl sitemap devops in etl xls
1029,casestudy msbi cub validation etl coe open source automation best practice and case study ppt
1030,python base automation framework for data test open source automation open source tool ppt
1031,etl automation use fitnesse open source automation open source tool ppt
1032,cloveretl automation for data test open source automation open source tool ppt
1033,python base automation utility use ide open source automation open source tool ppt
1034,best practice os tool etl coe open source automation best practice and case study ppt
1035,etl os tool mailers open source automation open source tool ppt
1036,idtw 6th series base pack tool and accelerators idtw perfaware flash demo idtw poc startup docs ppt
1037,cicd questionnaire v0.2 tool and accelerators idtw perfaware flash demo pride portal update pride portal update xls
1038,etl test review metrics tool and accelerators idtw perfaware flash demo pride portal update pride portal update ppt
1039,etl test process maturity level assesment framework tool and accelerators idtw perfaware flash demo pride portal update pride portal update ppt
1040,etl best practice tool and accelerators idtw perfaware flash demo pride portal update pride portal update best practice xls
1041,etl tool and accelerators tool and accelerators idtw perfaware flash demo pride portal update pride portal update new tool accelarators frameworks xls
1042,etl etvx verify tool and accelerators idtw perfaware flash demo pride portal update pride portal update process step in etvx xls
1043,dwt map template tool and accelerators idtw perfaware flash demo pride portal update pride portal update process step in etvx test execution verify xls
1044,dwt status report template tool and accelerators idtw perfaware flash demo pride portal update pride portal update process step in etvx test execution verify xlsm
